OrderID,CustomerID,OrderDate,ShipDate,ProductID,Quantity,Sales,Discount,ShippingCost,Region,Profit,ShippingMethod,PaymentType,OrderMonth,OrderYear,CustomerName,Segment,Country,ProductName,Category,SubCategory,ReturnStatus
ORD-00001,CUST-030,2023-12-28,2024-01-02,PROD-032,5,433.59,0.14,32.2,East,351.51739938516863,Standard Class,Cash on Delivery,12,2023,Customer 30,Home Office,India,Product 32,Technology,Chairs,Returned
ORD-00002,CUST-097,2023-11-23,2023-11-27,PROD-010,9,309.14,0.35,39.37,South,150.80718812597942,Same Day,Debit Card,11,2023,Customer 97,Consumer,UK,Product 10,Technology,Chairs,Not Returned
ORD-00003,CUST-028,2023-03-26,2023-03-27,PROD-010,5,496.28,0.13,28.55,Central,396.47569894340523,Same Day,Debit Card,3,2023,Customer 28,Home Office,Canada,Product 10,Technology,Chairs,Returned
ORD-00004,CUST-064,2023-02-27,2023-03-04,PROD-019,2,585.66,0.47,15.2,South,304.77517163279765,Second Class,Cash on Delivery,2,2023,Customer 64,Corporate,USA,Product 19,Technology,Chairs,Returned
ORD-00005,CUST-097,2023-09-25,2023-09-28,PROD-046,5,62.86,0.32,34.99,West,-19.371325638104384,Same Day,Debit Card,9,2023,Customer 97,Consumer,UK,Product 46,Office Supplies,Phones,Returned
ORD-00006,CUST-069,2023-09-29,2023-10-04,PROD-034,4,140.54,0.16,8.6,East,107.95904306835011,Standard Class,Cash on Delivery,9,2023,Customer 69,Corporate,Germany,Product 34,Furniture,Chairs,Not Returned
ORD-00007,CUST-061,2023-08-13,2023-08-18,PROD-033,7,567.47,0.13,24.88,West,454.51058798375334,Standard Class,Credit Card,8,2023,Customer 61,Corporate,UK,Product 33,Technology,Binders,Not Returned
ORD-00008,CUST-048,2023-02-26,2023-02-27,PROD-023,6,356.3,0.1,12.35,West,303.5544619856648,Second Class,Net Banking,2,2023,Customer 48,Consumer,India,Product 23,Technology,Chairs,Not Returned
ORD-00009,CUST-019,2023-04-05,2023-04-09,PROD-028,2,734.59,0.35,13.3,East,461.195299109708,Standard Class,Net Banking,4,2023,Customer 19,Corporate,India,Product 28,Technology,Tables,Not Returned
ORD-00010,CUST-004,2023-12-26,2023-12-28,PROD-032,5,659.25,0.11,14.1,Central,569.0500562209248,First Class,UPI,12,2023,Customer 4,Home Office,USA,Product 32,Technology,Chairs,Not Returned
ORD-00011,CUST-035,2023-11-17,2023-11-18,PROD-050,7,848.69,0.3,22.4,South,566.1603874788739,Standard Class,Debit Card,11,2023,Customer 35,Home Office,Canada,Product 50,Furniture,Storage,Not Returned
ORD-00012,CUST-064,2023-12-11,2023-12-14,PROD-007,7,698.64,0.13,7.3,West,589.5453635037119,Second Class,UPI,12,2023,Customer 64,Corporate,USA,Product 7,Office Supplies,Storage,Not Returned
ORD-00013,CUST-049,2023-04-05,2023-04-07,PROD-029,5,441.33,0.33,22.9,East,295.71021266818684,First Class,Credit Card,4,2023,Customer 49,Corporate,Germany,Product 29,Office Supplies,Tables,Not Returned
ORD-00014,CUST-017,2023-02-12,2023-02-17,PROD-008,9,679.51,0.41,28.03,West,391.5555200416135,First Class,Net Banking,2,2023,Customer 17,Corporate,USA,Product 8,Technology,Storage,Returned
ORD-00015,CUST-044,2023-10-25,2023-10-29,PROD-001,4,289.87,0.39,26.75,South,138.45004179743717,Same Day,Credit Card,10,2023,Customer 44,Consumer,Canada,Product 1,Furniture,Binders,Not Returned
